,name,field,grade,url
237067,CJ제일제당(주),생산관리·공정관리·품질관리,2,https://www.jobkorea.co.kr/starter/PassAssay/View/237067
237074,한스바이오메드,기획·전략·경영,2,https://www.jobkorea.co.kr/starter/PassAssay/View/237074
237075,한국국제보건의료재단,기획·전략·경영,3,https://www.jobkorea.co.kr/starter/PassAssay/View/237075
237076,한국전자통신연구원,기획·전략·경영,3,https://www.jobkorea.co.kr/starter/PassAssay/View/237076
237078,과학기술사업화진흥원,기획·전략·경영,2,https://www.jobkorea.co.kr/starter/PassAssay/View/237078
237080,피비파트너즈,인사·노무·교육,3,https://www.jobkorea.co.kr/starter/PassAssay/View/237080
237081,피아이첨단소재(주),사무·총무·법무,2,https://www.jobkorea.co.kr/starter/PassAssay/View/237081
237082,쿠팡풀필먼트서비스(유),기획·전략·경영,2,https://www.jobkorea.co.kr/starter/PassAssay/View/237082
237090,쿠첸,기계설계·CAD·CAM,2,https://www.jobkorea.co.kr/starter/PassAssay/View/237090
237093,경기주택도시공사,인사·노무·교육,2,https://www.jobkorea.co.kr/starter/PassAssay/View/237093
237103,(주)비바리퍼블리카,인사·노무·교육,2,https://www.jobkorea.co.kr/starter/PassAssay/View/237103
237107,㈜우리은행,빅데이터·AI(인공지능),3,https://www.jobkorea.co.kr/starter/PassAssay/View/237107
237109,NH농협은행,금융·보험영업,2,https://www.jobkorea.co.kr/starter/PassAssay/View/237109
237112,(주)경동나비엔,제품·서비스영업,2,https://www.jobkorea.co.kr/starter/PassAssay/View/237112
237136,한국수력원자력(주),해외영업·무역영업,2,https://www.jobkorea.co.kr/starter/PassAssay/View/237136
237137,(주)포스코인터내셔널,수출입·무역사무,2,https://www.jobkorea.co.kr/starter/PassAssay/View/237137
236819,㈜하나은행,금융·보험영업,2,https://www.jobkorea.co.kr/starter/PassAssay/View/236819
236822,조선비즈,기자,1,https://www.jobkorea.co.kr/starter/PassAssay/View/236822
236828,㈜CJ ENM,감독·연출·PD,2,https://www.jobkorea.co.kr/starter/PassAssay/View/236828
236832,한국폴리텍,사무·총무·법무,2,https://www.jobkorea.co.kr/starter/PassAssay/View/236832
236833,삼성전자(주),기획·전략·경영,2,https://www.jobkorea.co.kr/starter/PassAssay/View/236833
236838,(주)SBS,기획·전략·경영,2,https://www.jobkorea.co.kr/starter/PassAssay/View/236838
236853,현대자동차㈜,생산관리·공정관리·품질관리,3,https://www.jobkorea.co.kr/starter/PassAssay/View/236853
236859,CJ제일제당(주),영업관리·지원·영업기획,2,https://www.jobkorea.co.kr/starter/PassAssay/View/236859
236866,JTBC,기획·전략·경영,2,https://www.jobkorea.co.kr/starter/PassAssay/View/236866
236867,현대백화점,기획·전략·경영,2,https://www.jobkorea.co.kr/starter/PassAssay/View/236867
236875,충북대학교병원,사무·총무·법무,2,https://www.jobkorea.co.kr/starter/PassAssay/View/236875
236882,한국산업기술진흥원,기획·전략·경영,2,https://www.jobkorea.co.kr/starter/PassAssay/View/236882
236890,한국가스안전공사,시설·보안·경비·안전,2,https://www.jobkorea.co.kr/starter/PassAssay/View/236890
236894,한국동서발전(주),생산·제조·설비·조립,3,https://www.jobkorea.co.kr/starter/PassAssay/View/236894
236895,한국철도공사,생산·제조·설비·조립,3,https://www.jobkorea.co.kr/starter/PassAssay/View/236895
236901,GS칼텍스(주),생산관리·공정관리·품질관리,4,https://www.jobkorea.co.kr/starter/PassAssay/View/236901
236918,한국남동발전(주),전기·전자·제어,3,https://www.jobkorea.co.kr/starter/PassAssay/View/236918
236919,한국서부발전(주),전기·전자·제어,3,https://www.jobkorea.co.kr/starter/PassAssay/View/236919
236928,한국에너지기술평가원,기획·전략·경영,3,https://www.jobkorea.co.kr/starter/PassAssay/View/236928
236930,한국산업단지공단,기획·전략·경영,3,https://www.jobkorea.co.kr/starter/PassAssay/View/236930
